model,memory_mode,session,report_path,score_rate,avg_reward,avg_steps,scored_episodes,total_episodes,total_tokens,latency_p95_ms,step_rows,llm_calls,timeout_rate,parse_success_rate,avg_retry_count
DeepSeek-V3.2,with_memory,session_20260306_030749,experiment_logs/exp_20260305_122129/DeepSeek-V3.2_with_memory/session_20260306_030749/final_report.json,0.1,0.86,57.5,1,10,1068625,3568.6,575,118,0.0,1.0,0.0
DeepSeek-V3.2,without_memory,session_20260306_031432,experiment_logs/exp_20260305_122129/DeepSeek-V3.2_without_memory/session_20260306_031432/final_report.json,0.1,0.8799999999999999,41.0,1,10,448418,3933.3,410,86,0.0,1.0,0.0
Gemini-3.0-Flash,with_memory,session_20260305_122130,experiment_logs/exp_20260305_122129/Gemini-3.0-Flash_with_memory/session_20260305_122130/final_report.json,0.1,0.93,54.5,1,10,1152599,39477.61,545,114,0.08771929824561403,0.981651376146789,0.7456140350877193
Gemini-3.0-Flash,without_memory,session_20260305_133500,experiment_logs/exp_20260305_122129/Gemini-3.0-Flash_without_memory/session_20260305_133500/final_report.json,0.0,0.78,76.3,0,10,1169661,30824.61,763,158,0.06329113924050633,0.9868938401048493,0.6392405063291139
Grok-4.1-Fast-Non-Reasoning,with_memory,session_20260306_045743,experiment_logs/exp_20260305_122129/Grok-4.1-Fast-Non-Reasoning_with_memory/session_20260306_045743/final_report.json,0.0,0.78,137.4,0,10,2176044,2926.05,1374,277,0.0,1.0,0.0
Grok-4.1-Fast-Non-Reasoning,without_memory,session_20260306_051311,experiment_logs/exp_20260305_122129/Grok-4.1-Fast-Non-Reasoning_without_memory/session_20260306_051311/final_report.json,0.0,0.76,70.4,0,10,777002,2614.18,704,144,0.0,1.0,0.0
gemini_2_5_flash,with_memory,session_20260305_150530,experiment_logs/exp_20260305_122129/gemini_2_5_flash_with_memory/session_20260305_150530/final_report.json,0.0,0.76,99.1,0,10,723002,213339.87,991,203,0.5960591133004927,0.8779011099899092,3.5714285714285716
gemini_2_5_flash,without_memory,session_20260305_234743,experiment_logs/exp_20260305_122129/gemini_2_5_flash_without_memory/session_20260305_234743/final_report.json,0.0,0.76,88.9,0,10,1236779,107500.37,889,182,0.10989010989010989,0.9775028121484814,1.379120879120879
gpt-5-mini,with_memory,session_20260306_032000,experiment_logs/exp_20260305_122129/gpt-5-mini_with_memory/session_20260306_032000/final_report.json,0.0,0.74,119.1,0,10,1912132,17886.8,1191,242,0.0,1.0,0.028925619834710745
gpt-5-mini,without_memory,session_20260306_041103,experiment_logs/exp_20260305_122129/gpt-5-mini_without_memory/session_20260306_041103/final_report.json,0.0,0.7300000000000001,117.0,0,10,1662993,10010.36,1170,237,0.0,1.0,0.016877637130801686
